Energy,Count flux
4.40000,0.0001874975828062336
5.20000,0.02417817676461069
6.00000,1.276331517587312
6.80000,5.746624053681147
7.60000,13.21051390194653
8.40000,21.89360939085638
9.20000,24.44172023447727
10.0000,21.51586658296120
10.8000,14.86480705855050
11.6000,8.365158084700628
12.4000,3.896280380700706
13.2000,1.615210175811852
14.0000,0.6863099044775978
14.8000,0.2811324714012983
15.6000,0.1148720283026397
16.4000,0.04784388168004747
17.2000,0.01955912013811108
18.0000,0.008454060624651497
18.8000,0.003652266190867547
19.6000,0.001461240961653366
20.4000,0.0005224108779188931
21.2000,0.0001630431233213216
22.0000,3.630534075121418e-05
22.8000,2.847875294010049e-06
23.6000,1.553436842161778e-08
24.4000,0.000000000000000
25.2000,0.000000000000000
26.0000,0.000000000000000
26.8000,0.000000000000000
27.6000,0.000000000000000
28.4000,0.000000000000000
29.2000,0.000000000000000
